id_vendas,data,produto,quantidade,modo_pagamento
1,28-01-2024 14:20:00,Café Pingado 150 ml,2,debito
2,01-03-2024 13:57:00,Café Filtrado 150 ml,3,credito
3,23-06-2024 14:58:00,Café Filtrado 150 ml,5,credito
4,15-03-2024 10:34:00,Suco,2,debito
5,07-05-2024 15:04:00,Pão Integral,3,debito
6,28-04-2024 11:37:00,Rosquinha,3,credito
7,23-06-2024 16:47:00,Pão Integral,4,debito
8,07-05-2024 08:20:00,Bolo Mole,1,credito
9,15-03-2024 16:04:00,Pão de Mel,2,debito
10,08-06-2024 08:55:00,Croissant,1,debito
11,11-05-2024 09:16:00,Baguete,2,credito
12,04-03-2024 11:12:00,Pão de Queijo,3,credito
13,01-06-2024 08:39:00,Café Pingado 150 ml,4,pix
14,15-05-2024 16:07:00,Café Pingado 150 ml,3,pix
15,30-05-2024 15:39:00,Salgado,1,debito
16,01-03-2024 09:48:00,Torta de Frango,2,debito
17,20-02-2024 14:06:00,Café Espresso 50 ml,3,credito
18,02-04-2024 16:28:00,Café Espresso 50 ml,1,credito
19,09-05-2024 14:18:00,Rosquinha,2,debito
20,15-04-2024 15:57:00,Baguete,2,pix
21,17-01-2024 16:10:00,Salgado,4,pix
22,22-06-2024 10:44:00,Pão de Queijo,3,pix
23,04-03-2024 12:10:00,Pão de Mel,1,credito
24,06-03-2024 14:15:00,Pão de Mel,3,debito
25,06-04-2024 15:35:00,Suco,2,debito
26,12-01-2024 14:43:00,Bolo de Chocolate,4,credito
27,12-01-2024 08:30:00,Baguete,2,pix
28,08-01-2024 12:28:00,Bolo Mole,3,credito
29,15-05-2024 08:01:00,Croissant,5,credito
30,16-04-2024 12:29:00,Pão Francês,2,pix
31,11-06-2024 11:56:00,Café Espresso 50 ml,1,credito
32,21-04-2024 15:29:00,Pão de Mel,5,debito
33,25-04-2024 14:09:00,Café Espresso 50 ml,2,credito
34,01-06-2024 08:13:00,Pão Integral,3,pix
35,26-01-2024 15:59:00,Suco,5,debito
36,19-05-2024 09:31:00,Pão na Chapa,5,credito
37,09-01-2024 11:50:00,Rosquinha,3,debito
38,06-05-2024 13:03:00,Suco,3,debito
39,13-02-2024 11:29:00,Salgado,1,debito
40,15-01-2024 09:18:00,Suco,3,debito
41,27-05-2024 08:29:00,Salgado,5,debito
42,11-05-2024 12:29:00,Baguete,3,pix
43,01-02-2024 12:32:00,Café Pingado 150 ml,2,pix
44,21-02-2024 15:22:00,Café Espresso 50 ml,4,credito
45,27-03-2024 11:00:00,Rosquinha,1,credito
46,21-05-2024 10:21:00,Salgado,5,credito
47,06-04-2024 16:46:00,Rosquinha,5,pix
48,14-02-2024 13:10:00,Pão de Queijo,4,debito
49,19-01-2024 14:54:00,Suco,5,pix
50,13-04-2024 13:37:00,Café Espresso 50 ml,3,credito
51,28-01-2024 10:06:00,Pão Integral,2,pix
52,08-01-2024 12:27:00,Café Filtrado 150 ml,3,pix
53,14-05-2024 11:57:00,Bolo de Chocolate,2,pix
54,22-03-2024 14:37:00,Pão na Chapa,2,credito
55,09-06-2024 11:10:00,Café Pingado 150 ml,3,credito
56,17-05-2024 08:26:00,Café Filtrado 150 ml,1,credito
57,20-06-2024 10:47:00,Bolo de Chocolate,4,credito
58,29-04-2024 08:47:00,Bolo Mole,4,debito
59,02-06-2024 12:16:00,Salgado,3,pix
60,26-04-2024 09:28:00,Pão de Queijo,5,credito
61,19-06-2024 13:11:00,Salgado,4,pix
62,23-04-2024 10:28:00,Bolo Mole,4,credito
63,14-01-2024 13:26:00,Croissant,4,credito
64,15-04-2024 14:40:00,Pão de Queijo,5,pix
65,14-01-2024 15:56:00,Suco,4,credito
66,18-04-2024 12:51:00,Bolo Mole,5,credito
67,02-05-2024 08:55:00,Suco,5,pix
68,27-03-2024 15:48:00,Bolo de Chocolate,1,pix
69,16-02-2024 08:14:00,Pão Francês,1,pix
70,04-02-2024 11:12:00,Suco,5,debito
71,26-04-2024 14:28:00,Suco,3,credito
72,03-03-2024 15:18:00,Salgado,1,debito
73,09-05-2024 16:26:00,Café Filtrado 150 ml,5,pix
74,27-05-2024 10:42:00,Café Pingado 150 ml,4,debito
75,29-01-2024 15:01:00,Croissant,5,credito
76,05-06-2024 10:13:00,Suco,5,pix
77,02-03-2024 09:08:00,Café Espresso 50 ml,5,pix
78,03-03-2024 11:16:00,Suco,3,pix
79,04-02-2024 15:19:00,Pão de Queijo,1,debito
80,28-05-2024 10:08:00,Pão Francês,4,debito
81,13-03-2024 10:44:00,Bolo de Chocolate,4,pix
82,25-03-2024 14:28:00,Bolo de Chocolate,4,debito
83,28-04-2024 12:10:00,Pão na Chapa,2,pix
